title,remote_image_url,url,location,description
Sip Creative Cocktails in a Secretive Spot,http://static3.businessinsider.com/image/529f40166bb3f71c3358f40c-1200/dutch-kills.jpg,http://dutchkillsbar.com,"2724 Jackson Ave, Long Island City","Dutch Kills is a Speakeasy style bar located in the Long Island City Section of Queens.The bar has a very low key atmosphere and is a frequent spot for Jazz musicians to play. 

The drinks are extremely creative and the bartenders are all masters of their crafts. This adds up to one of the best watering holes in Long Island City."
Menuless Mana at Attaboy,http://www.newyork.com/articles/wp-content/uploads/2013/08/2-attaboy_650.jpg,http://ny.eater.com/tags/attaboy,"134 Eldridge St New York, NY 10002","The new tenants in the old Milk & Honey space, Attaboy has that old speakeasy feel that is rare today. 

Go to the steel doors with ""AB"" on them to get in the right place.  The bar service is unique. You tell them what you're feeling. Using their boundless expertise, and the days fresh fruit, they will suggest your drink. 

No menus, no fuss, just amazing cocktails. "
Brooklyn Burlesque at Shanghai Mermaid,http://guestofaguest.com/wp-content/uploads/2008/06/shanghai-mermaid1.jpg,http://www.shanghaimermaid.com/party/index.html,"893 Bergen Street, Brooklyn, NY 11238","Shanghai Mermaid is a burlesque themed speakeasy in Brooklyn. Burlesque and period costumes will keep you wanting more of the 1920's French inspired look. 

Enjoy the underground parties and ambiance nightly. Live music and acrobats will linger long through the night."
Prohibition For Beer Lovers at Proletariat,http://s3-media2.ak.yelpcdn.com/bphoto/PJudlSE-Dlm53uVdXdAZMA/l.jpg,http://proletariatny.com/,"102 St. Marks Place, NY, NY 10009","Proletariat is the perfect place for a beer lover. Unusual and unique choices will peak your palate and leave you wanting more. 

Enjoy the ambiance and comfortable dimly lit bar setting.  The bartenders recommendations will satisfy even the biggest beer connoisseur."
Specialty Cocktails at The Campbell Apartment,http://quiksilverpronyguide.files.wordpress.com/2011/08/campbell-apartment-2.jpg,http://hospitalityholdings.com.s168780.gridserver.com/index.php?id=cambellapartment,"15 Vanderbilt Avenue, Midtown East NY, NY 10017","The Campbell Apartment is named for the big-shot banker and former owner John W. Campbell.  This exquisite apartment, located in the Grand Central Station terminal is a throwback to the roaring 20's. 

Enjoy the ambiance and architecture in this fine establishment. Take advantage of the live jazz music and unusual selection of cocktails but don't forget to dress up as this place is high society at its finest.

Opens 3pm daily."
Jazz up your night at Dick and Jane's,http://s3-media4.ak.yelpcdn.com/bphoto/zraBLKOwuxbBWe-DO7AP7w/l.jpg,http://www.dickandjanesbar.com,"266 Adelphi St, New York, NY 11205","This neighborhood bar on Adelphi Street will add some swank and flavor to your night.

They have late night hours so you can enjoy their expertly mixed drinks almost anytime. Try the seasonal drink specials to add a twist to your cocktail choices."
Sip a Sweeney Todd at The Blind Barber,http://blindbarber.vaesite.net/__data/9e1f4735c016cf17e063306886ae0134.jpg,http://www.yelp.com/biz/the-blind-barber-new-york,"339 East 10th Street New York, NY 10009","Old fashion barber shop by day, Blind Barber speakeasy at night. Enter through the back wall of the barber shop and come early if you want an intimate place because the place gets really crowded later."
Experience the Experimental Cocktail Club,http://s.wsj.net/public/resources/images/OB-WP984_030813_J_20130308120643.jpg,http://www.experimentalcocktailclubny.com/,"191 Chrystie St, New York, NY 10002","The perfect place for great cocktails with friends and a little dancing right at the bar. Good looking crowd. 

No reservation are needed, but make sure to dress up well or have Lower East side hipster look. "
Elusive Entrance to a Decibel's Sake Experience,http://diary.thepurplepassport.com/wp-content/uploads/DecibelNYC071410-01-TPP.jpg,http://www.sakebardecibel.com/,"240 E 9th Street, New York, NY 10003","This hidden gem is a must visit place for Sake connoisseurs. The ambiance is stellar and the menu boasts delicious dumplings, cold soba, Octopus, shrimp cakes and fabulous beef udon. Japanese grunge underground at its finest."
Sip Sake at Sakagura,http://media.timeout.com/images/resizeBestFit/100417017/660/370/image.jpg,http://sakagura.com/,"211 E 43rd St New York, NY 10017","Sakagura has been around since 1966. Located at 211 E 43rd Street Basement Level New York, NY, this quaint, rustic speakeasy has been providing New Yorkers with amazing food and delicious sake for many years.

When you enter Sakagura it's like stepping into Tokyo with amazing decor. They take reservations but I love that you can use the Open Table website to also make reservations."
Swoon at the Shalel Lounge,http://newyork.seriouseats.com/images/20110412-Shalel-interior.jpg,https://plus.google.com/102281664081061385732/about?gl=us&hl=en,"65 W 70th St, Manhattan, NY 10023","The Shalel Lounge is the ultimate romantic getaway.  Walk down the stairs into a cavernous secluded hideout and enjoy the night Moroccan style. 

A favorite in Manhattan for those who know the perfect place for a date. Cozy in winter and cool in summer, the hidden lounge holds its appeal year round."
Get cozy at Marlow and Sons,http://2254a9d02b08b47afd5d-5a659056359faa679ad29652935f7074.r92.cf1.rackcdn.com/2009/08/Marlow-and-Sons-460x345.jpg,http://marlowandsons.com,"81 Broadway Brooklyn, NY 11249","Marlow and Sons is a cozy restaurant and bar located in Brooklyn, NY. The Menu is diverse and delicious. They serve breakfast, lunch and dinner.

Marlow and Sons is a great place to eat and drink, it's like being home no matter where you're from."
